# T2d · 宽度逐行明细（**每行一条**；与 t2d-extent-mismatches.txt 同格式，便于并排看）
# 列：用例 | 行# | cp 区间 | 真值宽 | 我们宽 | 差 | 桶
# 口径：桶 = 0（逐位等）/ ≤0.34 DIP（= 1 个 ideal unit）/ >0.34 DIP；三桶之和 == 行数（机检）
# 被测 shim 源 sha256（本 harness 直接编入） = 921BA9C65E9FB3BE9E31D402FD98568EE78639063D75BB4E656B20201B30DC2B
# PC 内 shim sha256                         = unknown(FP 里有该文件的行但行内无 sha256)
# hbtextline_shim_stale                     = false   （口径=源 mtime 1789965167 vs PC 产物 mtime 1789976075（basis=auth，与 run-wpfprobe.sh 的 hbt_stale() 同谓词）；**mtime 谓词、非内容比对** ⇒ 同内容重写会假阳（已登记为已知仪器局限；内容比对需要 PC 侧逐文件 sha，当前不可得））
# 仪器 = run.sh 711F39F468F61CC8 / Program.cs 149DD986A642FDFC   pc=56EE75CED8D6AECE   applocal=4/4 一致
# 族 × >0.34 红数 = （无）；各和=0 == 总数 0 : OK
# 隔离矩阵 = OK；逐族 diff = 一位未动（全部族计数与基线逐位相同）
# 合计 1298 行；0=173 ≤0.34=1125 >0.34=0；本清单只列差>0 的行，共 1125 条
A1_lat_words_w20 | 行#0 | cp=[0,2) | 真值宽=18.7833 | 我们宽=18.7840 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#32 | cp=[63,66) | 真值宽=16.7033 | 我们宽=16.7040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#33 | cp=[66,70) | 真值宽=15.1367 | 我们宽=15.1360 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#34 | cp=[70,73) | 真值宽=19.3133 | 我们宽=19.3120 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#35 | cp=[73,75) | 真值宽=16.4933 | 我们宽=16.4960 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#36 | cp=[75,77) | 真值宽=11.7900 | 我们宽=11.7920 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#37 | cp=[77,80) | 真值宽=14.1733 | 我们宽=14.1760 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#0 | cp=[0,4) | 真值宽=27.8067 | 我们宽=27.8080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#1 | cp=[4,7) | 真值宽=23.8533 | 我们宽=23.8560 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#2 | cp=[7,10) | 真值宽=16.2233 | 我们宽=16.2240 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#3 | cp=[10,13) | 真值宽=25.4867 | 我们宽=25.8080 | 差=0.3213 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#4 | cp=[13,16) | 真值宽=22.4633 | 我们宽=22.4640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#5 | cp=[16,20) | 真值宽=23.3267 | 我们宽=23.3280 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#6 | cp=[20,23) | 真值宽=28.9733 | 我们宽=28.9760 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#7 | cp=[23,26) | 真值宽=17.5033 | 我们宽=17.5040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#8 | cp=[26,29) | 真值宽=26.5100 | 我们宽=26.5120 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#9 | cp=[29,31) | 真值宽=6.6067 | 我们宽=6.6080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#10 | cp=[31,35) | 真值宽=24.6867 | 我们宽=24.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#11 | cp=[35,40) | 真值宽=28.7833 | 我们宽=28.7840 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#13 | cp=[44,48) | 真值宽=28.7033 | 我们宽=28.7040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#14 | cp=[48,52) | 真值宽=24.6867 | 我们宽=24.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#15 | cp=[52,54) | 真值宽=21.5533 | 我们宽=21.5520 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#17 | cp=[59,63) | 真值宽=24.8167 | 我们宽=24.8160 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#18 | cp=[63,66) | 真值宽=16.7033 | 我们宽=16.7040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#19 | cp=[66,70) | 真值宽=15.1367 | 我们宽=15.1360 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#21 | cp=[74,78) | 真值宽=28.2833 | 我们宽=28.2880 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w30 | 行#22 | cp=[78,80) | 真值宽=4.2867 | 我们宽=4.2880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#0 | cp=[0,4) | 真值宽=27.8067 | 我们宽=27.8080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#1 | cp=[4,8) | 真值宽=31.5333 | 我们宽=31.5360 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#2 | cp=[8,10) | 真值宽=8.5433 | 我们宽=8.5440 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#3 | cp=[10,14) | 真值宽=38.0633 | 我们宽=38.0640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#4 | cp=[14,20) | 真值宽=37.3733 | 我们宽=37.3760 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#5 | cp=[20,24) | 真值宽=38.8133 | 我们宽=38.8160 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#6 | cp=[24,26) | 真值宽=7.6633 | 我们宽=7.6640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#7 | cp=[26,31) | 真值宽=33.1167 | 我们宽=33.1200 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#8 | cp=[31,35) | 真值宽=24.6867 | 我们宽=24.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#9 | cp=[35,40) | 真值宽=28.7833 | 我们宽=28.7840 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#11 | cp=[44,48) | 真值宽=28.7033 | 我们宽=28.7040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#12 | cp=[48,52) | 真值宽=24.6867 | 我们宽=24.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#13 | cp=[52,57) | 真值宽=36.6900 | 我们宽=36.6880 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#14 | cp=[57,59) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#15 | cp=[59,64) | 真值宽=32.4967 | 我们宽=32.4960 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#17 | cp=[70,76) | 真值宽=39.9333 | 我们宽=39.9360 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w40 | 行#18 | cp=[76,80) | 真值宽=21.8367 | 我们宽=21.8400 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#0 | cp=[0,4) | 真值宽=27.8067 | 我们宽=27.8080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#1 | cp=[4,10) | 真值宽=40.0767 | 我们宽=40.0800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#2 | cp=[10,16) | 真值宽=47.9500 | 我们宽=47.9520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#3 | cp=[16,20) | 真值宽=23.3267 | 我们宽=23.3280 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#4 | cp=[20,26) | 真值宽=46.4767 | 我们宽=46.4800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#5 | cp=[26,31) | 真值宽=33.1167 | 我们宽=33.1200 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#6 | cp=[31,35) | 真值宽=24.6867 | 我们宽=24.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#7 | cp=[35,40) | 真值宽=28.7833 | 我们宽=28.7840 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#9 | cp=[44,48) | 真值宽=28.7033 | 我们宽=28.7040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#10 | cp=[48,52) | 真值宽=24.6867 | 我们宽=24.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#11 | cp=[52,59) | 真值宽=45.7133 | 我们宽=45.7120 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#13 | cp=[66,70) | 真值宽=15.1367 | 我们宽=15.1360 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#14 | cp=[70,77) | 真值宽=47.5967 | 我们宽=47.6000 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w50 | 行#15 | cp=[77,80) | 真值宽=14.1733 | 我们宽=14.1760 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#0 | cp=[0,4) | 真值宽=27.8067 | 我们宽=27.8080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#1 | cp=[4,10) | 真值宽=40.0767 | 我们宽=40.0800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#2 | cp=[10,16) | 真值宽=47.9500 | 我们宽=47.9520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#3 | cp=[16,20) | 真值宽=23.3267 | 我们宽=23.3280 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#4 | cp=[20,26) | 真值宽=46.4767 | 我们宽=46.4800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#5 | cp=[26,31) | 真值宽=33.1167 | 我们宽=33.1200 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#6 | cp=[31,40) | 真值宽=57.6300 | 我们宽=57.6320 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#8 | cp=[44,52) | 真值宽=57.5500 | 我们宽=57.5520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#9 | cp=[52,59) | 真值宽=45.7133 | 我们宽=45.7120 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#11 | cp=[66,70) | 真值宽=15.1367 | 我们宽=15.1360 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#12 | cp=[70,78) | 真值宽=57.4833 | 我们宽=57.4880 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w60 | 行#13 | cp=[78,80) | 真值宽=4.2867 | 我们宽=4.2880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#0 | cp=[0,4) | 真值宽=27.8067 | 我们宽=27.8080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#1 | cp=[4,10) | 真值宽=40.0767 | 我们宽=40.0800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#2 | cp=[10,16) | 真值宽=47.9500 | 我们宽=47.9520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#3 | cp=[16,20) | 真值宽=23.3267 | 我们宽=23.3280 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#4 | cp=[20,26) | 真值宽=46.4767 | 我们宽=46.4800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#5 | cp=[26,35) | 真值宽=61.9633 | 我们宽=61.9680 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#6 | cp=[35,44) | 真值宽=62.3033 | 我们宽=62.3040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#7 | cp=[44,52) | 真值宽=57.5500 | 我们宽=57.5520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#8 | cp=[52,59) | 真值宽=45.7133 | 我们宽=45.7120 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#9 | cp=[59,70) | 真值宽=60.8167 | 我们宽=60.8160 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w70 | 行#10 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#0 | cp=[0,10) | 真值宽=72.0433 | 我们宽=72.0480 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#1 | cp=[10,20) | 真值宽=75.4367 | 我们宽=75.4400 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#2 | cp=[20,26) | 真值宽=46.4767 | 我们宽=46.4800 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#3 | cp=[26,35) | 真值宽=61.9633 | 我们宽=61.9680 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#4 | cp=[35,44) | 真值宽=62.3033 | 我们宽=62.3040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#5 | cp=[44,52) | 真值宽=57.5500 | 我们宽=57.5520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#6 | cp=[52,59) | 真值宽=45.7133 | 我们宽=45.7120 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#7 | cp=[59,70) | 真值宽=60.8167 | 我们宽=60.8160 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w80 | 行#8 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#0 | cp=[0,10) | 真值宽=72.0433 | 我们宽=72.0480 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#1 | cp=[10,20) | 真值宽=75.4367 | 我们宽=75.4400 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#2 | cp=[20,31) | 真值宽=83.7533 | 我们宽=83.7600 | 差=0.0067 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#3 | cp=[31,44) | 真值宽=91.1500 | 我们宽=91.1520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#4 | cp=[44,52) | 真值宽=57.5500 | 我们宽=57.5520 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#5 | cp=[52,66) | 真值宽=91.3933 | 我们宽=91.3920 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w100 | 行#6 | cp=[66,80) | 真值宽=81.0667 | 我们宽=81.0720 | 差=0.0053 | 桶=≤0.34 DIP
A1_lat_words_w120 | 行#0 | cp=[0,10) | 真值宽=72.0433 | 我们宽=72.0480 | 差=0.0047 | 桶=≤0.34 DIP
A1_lat_words_w120 | 行#1 | cp=[10,20) | 真值宽=75.4367 | 我们宽=75.4400 | 差=0.0033 | 桶=≤0.34 DIP
A1_lat_words_w120 | 行#2 | cp=[20,35) | 真值宽=112.6000 | 我们宽=112.6080 | 差=0.0080 | 桶=≤0.34 DIP
A1_lat_words_w120 | 行#3 | cp=[35,48) | 真值宽=95.1667 | 我们宽=95.1680 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w120 | 行#5 | cp=[59,70) | 真值宽=60.8167 | 我们宽=60.8160 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w120 | 行#6 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w150 | 行#0 | cp=[0,16) | 真值宽=124.1533 | 我们宽=124.1600 | 差=0.0067 | 桶=≤0.34 DIP
A1_lat_words_w150 | 行#1 | cp=[16,35) | 真值宽=140.0867 | 我们宽=140.0960 | 差=0.0093 | 桶=≤0.34 DIP
A1_lat_words_w150 | 行#2 | cp=[35,52) | 真值宽=124.0133 | 我们宽=124.0160 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w150 | 行#3 | cp=[52,70) | 真值宽=110.6900 | 我们宽=110.6880 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w150 | 行#4 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w180 | 行#0 | cp=[0,20) | 真值宽=151.6400 | 我们宽=151.6480 | 差=0.0080 | 桶=≤0.34 DIP
A1_lat_words_w180 | 行#1 | cp=[20,44) | 真值宽=179.0633 | 我们宽=179.0720 | 差=0.0087 | 桶=≤0.34 DIP
A1_lat_words_w180 | 行#3 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w200 | 行#0 | cp=[0,20) | 真值宽=151.6400 | 我们宽=151.6480 | 差=0.0080 | 桶=≤0.34 DIP
A1_lat_words_w200 | 行#1 | cp=[20,44) | 真值宽=179.0633 | 我们宽=179.0720 | 差=0.0087 | 桶=≤0.34 DIP
A1_lat_words_w200 | 行#3 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w240 | 行#0 | cp=[0,31) | 真值宽=239.5533 | 我们宽=239.5680 | 差=0.0147 | 桶=≤0.34 DIP
A1_lat_words_w240 | 行#1 | cp=[31,59) | 真值宽=202.7333 | 我们宽=202.7360 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w240 | 行#2 | cp=[59,80) | 真值宽=126.7467 | 我们宽=126.7520 | 差=0.0053 | 桶=≤0.34 DIP
A1_lat_words_w280 | 行#0 | cp=[0,35) | 真值宽=268.4000 | 我们宽=268.4160 | 差=0.0160 | 桶=≤0.34 DIP
A1_lat_words_w280 | 行#1 | cp=[35,70) | 真值宽=238.8633 | 我们宽=238.8640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w280 | 行#2 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w320 | 行#0 | cp=[0,40) | 真值宽=301.3433 | 我们宽=301.3600 | 差=0.0167 | 桶=≤0.34 DIP
A1_lat_words_w320 | 行#1 | cp=[40,80) | 真值宽=271.8500 | 我们宽=271.8560 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w400 | 行#0 | cp=[0,52) | 真值宽=396.5733 | 我们宽=396.5920 | 差=0.0187 | 桶=≤0.34 DIP
A1_lat_words_w400 | 行#1 | cp=[52,80) | 真值宽=176.6200 | 我们宽=176.6240 | 差=0.0040 | 桶=≤0.34 DIP
A1_lat_words_w480 | 行#0 | cp=[0,59) | 真值宽=446.4467 | 我们宽=446.4640 | 差=0.0173 | 桶=≤0.34 DIP
A1_lat_words_w480 | 行#1 | cp=[59,80) | 真值宽=126.7467 | 我们宽=126.7520 | 差=0.0053 | 桶=≤0.34 DIP
A1_lat_words_w560 | 行#0 | cp=[0,70) | 真值宽=511.4233 | 我们宽=511.4400 | 差=0.0167 | 桶=≤0.34 DIP
A1_lat_words_w560 | 行#1 | cp=[70,80) | 真值宽=61.7700 | 我们宽=61.7760 | 差=0.0060 | 桶=≤0.34 DIP
A1_lat_words_w700 | 行#0 | cp=[0,80) | 真值宽=577.3533 | 我们宽=577.3760 | 差=0.0227 | 桶=≤0.34 DIP
A1_lat_words_w900 | 行#0 | cp=[0,80) | 真值宽=577.3533 | 我们宽=577.3760 | 差=0.0227 | 桶=≤0.34 DIP
A1_lat_words_winf | 行#0 | cp=[0,80) | 真值宽=577.3533 | 我们宽=577.3760 | 差=0.0227 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#2 | cp=[6,9) | 真值宽=18.1400 | 我们宽=18.1440 | 差=0.0040 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#3 | cp=[9,11) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#4 | cp=[11,13) | 真值宽=16.6867 | 我们宽=16.6880 | 差=0.0013 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#6 | cp=[15,18) | 真值宽=19.7267 | 我们宽=19.7280 | 差=0.0013 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#7 | cp=[18,21) | 真值宽=18.1400 | 我们宽=18.1440 | 差=0.0040 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#8 | cp=[21,23) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#9 | cp=[23,26) | 真值宽=19.7900 | 我们宽=19.7920 | 差=0.0020 | 桶=≤0.34 DIP
A1_hard_lf_w20 | 行#10 | cp=[26,29) | 真值宽=16.1267 | 我们宽=16.1280 | 差=0.0013 | 桶=≤0.34 DIP
A1_hard_lf_w30 | 行#1 | cp=[6,11) | 真值宽=27.1633 | 我们宽=27.1680 | 差=0.0047 | 桶=≤0.34 DIP
A1_hard_lf_w30 | 行#2 | cp=[11,14) | 真值宽=24.3667 | 我们宽=24.3680 | 差=0.0013 | 桶=≤0.34 DIP
A1_hard_lf_w30 | 行#3 | cp=[14,18) | 真值宽=29.4067 | 我们宽=29.4080 | 差=0.0013 | 桶=≤0.34 DIP
A1_hard_lf_w30 | 行#4 | cp=[18,23) | 真值宽=27.1633 | 我们宽=27.1680 | 差=0.0047 | 桶=≤0.34 DIP
A1_hard_lf_w30 | 行#5 | cp=[23,27) | 真值宽=26.0767 | 我们宽=26.4000 | 差=0.3233 | 桶=≤0.34 DIP
A1_hard_lf_w40 | 行#1 | cp=[6,11) | 真值宽=27.1633 | 我们宽=27.1680 | 差=0.0047 | 桶=≤0.34 DIP
A1_hard_lf_w40 | 行#2 | cp=[11,15) | 真值宽=34.0467 | 我们宽=34.0480 | 差=0.0013 | 桶=≤0.34 DIP
